ISSN, OBJECT ID, SIRSI DATE, SFX DATE
0033-5177, 954925436488, [1967-], [1967-]
0033-832X, 954925437500, [1996-], [1996-]
0034-5466, 954925438521, [1952-1999], [1952-1999]
0034-6446, 954925438524, [1970-], [1970-]
0034-673X, 954925438530, [1959-], [1959-]
0035-4511, 954925441581, [1958-], [1958-]
0036-0244, 954925442606, [2006-], [2006-]
0036-0295, 954925442608, [2006], [2006-2006]
0037-9085, 954925445673, [], [1997-]
0038-0938, 954925445694, [1967-], [1967-]
0038-6308, 954925446718, [1962-], [1962-]
0039-3169, 954925447733, [1957-], [1957-]
0039-7857, 954925448756, [1936-], [1936-]
0040-5752, 954925449785, [1929-], [1929-]
0040-5779, 954925449786, [1969-], [1969-]
0040-5795, 954925449787, [2000-], [2000-]
0040-5833, 954925449788, [1970-], [1970-]
0043-2636, 954925451864, [1913-2002], [1913-2002]
0043-5325, 954925452871, [2003-], [2003-]
0043-7719, 954925452876, [1967-], [1967-]
0044-2275, 954925452893, [1950-], [1950-]
0044-2887, 954925453906, [1955-2003], [1955-2003]
0044-7447, 954925454934, [1972-], [1972-]
0044-8435, 954925454941, [1970-], [1970-]
0045-6713, 954925455952, [1970-], [1970-]
0047-2891, 954925456982, [1972-], [1972-]
0048-3893, 954925456990, [1971-], [1971-]
0048-5829, 954925456996, [1968-], [1966-]
0049-4488, 954925457016, [1972-], [1972-]
0049-4747, 954925457017, [1969-], [1969-]
0049-6979, 954925457020, [1971-], [1971-]
0085-4530, 954925461111, [1996-], [1996-]
0090-4341, 954925461128, [1973-], [1973-]
0090-466X, 954925461131, [1997-1999], [1997-1999]
0090-4996, 954925461132, [1973-2003], [1973-2003]
0090-502X, 954925461133, [1973-], [1973-]
0090-6905, 954925462140, [1971-], [1971-]
0090-6964, 954925462141, [1972-], [1972-]
0091-0562, 954925462145, [1973-], [1973-]
0091-0627, 954925462146, [1973-], [1973-]
0091-1674, 954925462148, [1973-], [1973-]
0093-7711, 954925464195, [1974-], [1974-]
0095-3628, 954925465225, [1974-], [1974-]
0095-4616, 954925465228, [1974-], [1974-]
0095-9782, 954925465236, [1972-], [1972-]
0098-0331, 954925466258, [1975-], [1975-]
0103-9733, 954925467287, [1997-], [1997-]
0133-1736, 954925470318, [1974-], [1974-]
0137-5881, 954925470321, [1997-], [1997-]
0138-9130, 954925470323, [1978-], [1978-]
0140-0118, 954925470326, [1977-], [1977-]
0141-5492, 954925471344, [1979-], [1979-]
0141-8955, 954925471350, [1978-], [1978-]
0142-4319, 954925472360, [1980-], [1980-]
0144-8463, 954925473391, [1981-2007, 2012-], [1981-2007, 2012-]
0145-479X, 954925473404, [Record not found in Sirsi], [1970-]
0146-1044, 954925474417, [1978-], [1978-]
0146-4116, 954925474422, [2007-], [2007-]
0146-7239, 954925474431, [1977-], [1977-]
0147-7307, 954925475445, [1977-], [1977-]
0160-8347, 954925477507, [1978-2005], [1978-2005]
0161-9152, 954925478532, [Record not found in Sirsi], [1978-]
0162-3257, 954925479545, [1979-], [1979-]
0163-4984, 954925479564, [1979-], [1979-]
0163-8548, 954925480577, [1978-], [1978-]
0164-0291, 954925480584, [1980-], [1980-]
0164-0313, 954925480585, [1981-], [1981-]
0165-0009, 954925480588, [1977-], [1977-]
0165-005X, 954925480589, [1977-], [1977-]
0165-0157, 954925480591, [1977-], [1977-]
0165-5701, 954925481616, [1978-], [1978-]
