ISSN, OBJECT ID, SIRSI DATE, SFX DATE
1019-7168, 954928608160, [1993-], [1993-]
1026-1265, 954928609168, [], [1992-]
1064-7546, 954928615223, [1997-1999], [1997-1999]
1071-2836, 954928616240, [Record not found in Sirsi], [1980-]
1073-5615, 954928616242, [v.6(1994)-], [1970-]
1083-4877, 954928618256, [Record not found in Sirsi], [1960-]
1087-6596, 954928618260, [2000-], [2000-]
1133-0686, 954928620284, [1992-], [1950-]
1225-8873, 954928620296, [1995-], [1995-]
1225-9438, 954928620297, [1997-2000], [1997-2000]
1355-008X, 954928622307, [1994-], [1994-]
1432-2994, 954928623314, [Record not found in Sirsi], [1956-]
0042-1111, 954933097323, [1996-2002], []
0001-9054, 954933105324, [1968-], [1968-]
0008-0624, 954933105326, [1964-], [1964-]
0025-2514, 954933106328, [1997-], [1997-]
0170-6012, 954933106330, [1985-], [1985-]
0175-3851, 954933106332, [1997-2011], [1997-2011]
0178-3564, 954933107333, [Bd.10(1995)-Bd.22(2007)], [1995-2008]
0377-7332, 954933107334, [1976-], [1976-]
0723-8886, 954933108338, [1998-], [1998-]
0873-9749, 954933108339, [1999-], [1999-]
0913-8668, 954933108340, [1987-], [1987-]
0918-4287, 954933108341, [1993-2004], [1993-2004]
0930-9225, 954933108343, [1997-], [1997-]
0933-7946, 954933108344, [1997-], [1997-]
0934-5043, 954933108345, [1989-], [1989-]
0934-6694, 954933108346, [1989-], [1989-]
0935-7335, 954933108347, [1998-], [1998-]
0936-7160, 954933108348, [1996-], [1996-]
0937-7409, 954933108349, [1990-], [1990-]
0938-7412, 954933109350, [1997-], [1997-]
0947-3602, 954933109354, [1996-], []
0947-8965, 954933109355, [1996-], [1996-]
0948-4280, 954933109356, [v.1(1995)-], []
0948-4817, 954933109357, [1991-1994], [1991-1994]
0948-7034, 954933109358, [1997-], [1997-]
0949-2984, 954933109359, [Record not found in Sirsi], []
1021-9722, 954933109360, [1994-], [1994-]
1022-1824, 954933109361, [1995-], [1995-]
1061-1711, 954933110362, [1992-  Most recent 1 year(s)not available], [1992-  Most recent 1 year(s) not available]
1070-3004, 954933110363, [1994-], [1994-]
1123-6337, 954933110364, [1999-], [1999-]
1265-4906, 954933110365, [1997-], [1997-]
1341-321X, 954933110366, [1995-], [1995-]
1341-9625, 954933110367, [1996-], []
1342-1751, 954933110368, [1997-], [1997-]
1422-6928, 954933110369, [1999-], [1999-]
1422-6944, 954933110370, [1999-], [1999-]
1432-5012, 954933110377, [1997-], [1997-]
1432-7643, 954933110378, [v.1(1997)-], [1997-]
1432-9360, 954933110379, [1997-], [1997-]
1433-1373, 954933110380, [Record not found in Sirsi], [1996-]
1433-2779, 954933110381, [v.1(1997)-], [1997-]
1433-2833, 954933111382, [1998-], [1998-]
1434-1816, 954933111384, [1998-], [1998-]
1434-4742, 954933111385, [1997-], [1997-]
1434-5021, 954933111386, [v.1(1998)-], [1998-]
1434-6222, 954933111388, [Record not found in Sirsi], [1997-]
1435-2974, 954933111391, [1998-2001], [1998-2001]
1435-3725, 954933111392, [1998-2003], [1998-2003]
1435-5469, 954933111393, [1999-2009], [1999-2009]
1435-5558, 954933111394, [1999-], [1999-]
1435-5930, 954933111395, [1999-], [1999-]
1435-9448, 954933111396, [1998-], [1998-]
1435-9529, 954933111398, [1998-], [1998-]
1436-3291, 954933111401, [1998-], [1998-]
1436-6274, 954933111402, [1998-], [1998-]
1436-9990, 954933111403, [1997-], [1997-]
1438-387X, 954933111404, [1999-], [1999-]
1094-6136, 954933185432, [1998-], [1998-]
1007-1172, 958480152009, [2008-], [2008-]
1359-4338, 958480152012, [1995-], [1995-]
0949-2054, 958480152013, [1997-2000], [1997-2000]
0947-7047, 958480152018, [1995-], [1995-]
1007-6417, 958480153037, [1997-], [1997-]
1007-1202, 958480155091, [1996-], [1996-]
0188-7009, 958480162265, [1997-], [1997-]
1004-3756, 958480162275, [2003-], [2003-]
1054-6618, 958480162278, [2006-], [2006-]
1230-3402, 958480163295, [2006-], [2006-]
1061-3862, 958480164312, [2007-], [2007-]
1060-992X, 958480164318, [2007-], [2007-]
1040-7294, 958480168421, [1989-], [1989-]
0862-7940, 958480168425, [1997-], [1956-]
1046-283X, 958480170483, [1990-], [1990-]
0951-5666, 958480171501, [1987-], [1987-]
0030-3887, 958480204384, [2009-], [2009-]
0066-6416, 958480216691, [1981-1985], [1981-1985]
0933-2480, 958480246482, [1989-], [1989-]
1079-2724, 958480251604, [1995-], [1995-]
1084-0184, 958480252615, [1996-2004], []
0892-4635, 958480257721, [1988-1997], [1988-1997]
0369-8203, 958480261781, [2012-], [2012-]
0012-4974, 958480263826, [v.373(2000)-v.375(2000)], []
0894-0525, 958480264850, [2011-], [2011-]
1000-9000, 958480272009, [1986-], [1986-]
0190-9177, 958480279127, [1979-1991], [1979-1991]
0932-383X, 958480279139, [1997-], [1997-]
0005-8912, 958480280167, [2005-], [2005-]
8756-3894, 958480289347, [1985-], [1985-]
0162-2641, 958480290378, [Record not found in Sirsi], [1977-1988]
1042-1726, 958480290381, [1989-], [1989-]
1369-7072, 959328104028, [1999-], [1999-]
1292-8941, 959800436002, [2000-], [2000-]
0937-9819, 959800547001, [1997-], [1997-]
1430-4171, 959800564003, [1996-], [1996-]
1066-2316, 960238431027, [1997-], [1975-]
0738-0151, 960238503115, [1984-], [1984-]
0147-1694, 960238538150, [1976-], [1976-]
1046-1310, 960238560182, [v.7(1988)-], [1981-]
1082-3301, 960238581208, [Record not found in Sirsi], [1973-]
0892-7545, 960238598225, [1988-], [1988-]
0270-6679, 960238633265, [1990-1997], []
1210-3055, 960238676309, [1996-], [1996-]
0742-5627, 960238693329, [Record not found in Sirsi], [1976-]
0891-4486, 960238710347, [1987-], [1987-]
1081-1753, 960238740385, [1997-2002], [1997-2002]
1062-1024, 960238756397, [1992-], [1992-]
1058-0476, 960238786417, [Record not found in Sirsi], [1978-]
1050-5350, 960238790422, [Record not found in Sirsi], [1985-]
1059-7700, 960238792425, [1992-], [1992-]
0889-3675, 960238824449, [1990-1993, 1997-], [1990-1993, 1997-]
1011-0070, 960238945597, [2001-], [2001-]
0031-2789, 960238952604, [1950-], [1950-]
0033-4006, 960239002664, [2000-], [2000-]
0162-0436, 960239003665, [1978-], [1978-]
0885-7466, 960239078773, [1987-], [1987-]
0003-1232, 960239139853, [1965-], [1965-]
0278-095X, 960239171871, [1981-], [1981-]
0042-0972, 960239190882, [1967-], [1967-]
0957-8765, 960239210910, [1990-], [1990-]
1424-0637, 960988174001, [2000-], [2000-]
0218-0006, 960988175002, [1997-], [1997-]
0343-754X, 960988190004, [1974-2004], [1974-2004]
1435-6104, 960988190005, [2000-], [2000-]
1439-0590, 960988195006, [Record not found in Sirsi], []
1438-793X, 960988199007, [2000-], [2000-]
1439-3972, 960988201009, [2000], [2000-2001]
1525-3961, 960988208011, [2000-], [2000-]
1439-8621, 960988216013, [2000-], [2000-]
1439-7595, 960988220014, [2000-], [1997-]
1436-3798, 960988231015, [1999-], [1999-]
1615-147X, 960988235017, [Record not found in Sirsi], [1989-]
0263-0338, 963017449038, [1983-], [1983-]
0815-0796, 963017539067, [1996-], [1996-]
0892-2764, 963017552071, [Record not found in Sirsi], [1979-]
0894-9085, 963017555072, [1988-], [1988-]
0925-4692, 963017577081, [1991-], [1991-]
1028-3358, 963017676129, [2000-], [2000-]
1053-0800, 963017696136, [1991-2001], [1991-2001]
1064-7554, 963017712142, [1993-], [1993-]
1090-7165, 963017735157, [1997-], [1997-]
1092-7697, 963017737159, [1997-], [1997-]
1096-4037, 963017740165, [1998-], [1998-]
1096-4045, 963017740166, [1999-2005], [1999-2005]
1358-3883, 963017773198, [1995-], [1995-]
1385-9587, 963017808244, [1999-], [1999-]
1386-7857, 963017811245, [1998-], [1998-]
1386-9620, 963017811247, [1998-], [1998-]
1387-3741, 963017813250, [2000-], [2000-]
1389-2576, 963017816257, [2000-], [2000-]
1389-2843, 963017817258, [2000-], [2000-]
1389-4978, 963017817259, [2000-], [2000-]
1389-4986, 963017817260, [2000-], [2000-]
1389-5729, 963017817261, [2000-], [2000-]
1389-9155, 963017817262, [2000-], [2000-]
1389-9333, 963017818263, [2000-], [2000-]
1420-2026, 963017820268, [1996-], []
1522-3434, 963017851319, [1999-2005], [1999-2005]
1560-3547, 963017856335, [1998-], [1998-]
1566-0184, 963017856336, [2000-2005], [2000-2005]
1566-4910, 963017857338, [2000-], [2000-]
0720-728X, 963018115766, [1992-], [1992-]
1073-0508, 963018277151, [1994-], [1994-]
1083-0898, 963018297209, [1995-], [1995-]
1385-951X, 963018350359, [2000-], [2000-]
1386-145X, 963018350360, [1998-], [1998-]
0928-5040, 974392601023, [1994-1996], [1994-1996]
1432-9123, 974456477003, [1997-], [1997-]
1080-5370, 974740727029, [1995-], [1995-]
0163-5158, 110974990161242, [1974-], [1974-]
1530-7026, 110974990161244, [2001-], [2001-]
1566-0621, 110974993510299, [2000-], [2000-]
0891-4494, 110974993510303, [1987-1993], [1987-1993]
1053-1890, 110974993510305, [Record not found in Sirsi], [1971-]
0022-0116, 110974993510307, [1968-], [1968-]
0916-8370, 110974993510309, [Record not found in Sirsi], [1970-]
1389-4420, 110974993510313, [2000-], [2000-]
1092-7875, 110974993510319, [1997-], [1997-]
1520-7439, 110974993510321, [Record not found in Sirsi], [1992-]
0002-5232, 110974993863430, [1968-], [1968-]
1389-0166, 110974993863434, [v.1(2001)-], [1987-1996, 2001-]
0571-7256, 110974993863442, [1965-], [1965-]
1062-3590, 110974993863446, [2000-], [2000-]
1567-8822, 110974993863448, [2001-2010], [2001-2010]
0009-3122, 110974993863450, [1965-], [1965-]
0009-3130, 110974993863452, [1965-], [1965-]
0010-9525, 110974993863456, [2000-], [2000-]
0012-4966, 110974993863460, [2000-], [2000-]
0012-4982, 110974993863462, [v.373(2000)-v.375(2000)], []
0012-4990, 110974993863464, [v.323(2000)-v.375(2000)], []
0012-5008, 110974993863466, [2000-], [2000-]
0012-5016, 110974993863468, [2000-], [2000-]
1567-7419, 110974993863470, [2001-], [2001-]
1389-9600, 110974993863476, [2001-], [2001-]
0015-4628, 110974993863478, [1966-], [1966-]
1072-947X, 110974993863480, [1994-], [1994-]
0018-8220, 110974993863484, [1997-2001], [1997-2001]
1389-6563, 110974993863492, [2001-], [2001-]
1068-9591, 110974993863494, [1995-2000], [1995-2000]
0021-8944, 110974993863500, [1965-], [1965-]
0021-9037, 110974993863502, [1965-], [1965-]
1053-0819, 110974993863504, [1991-], [1991-]
1062-0125, 110974993863508, [Record not found in Sirsi], [1965-]
1566-2543, 110974993863510, [Record not found in Sirsi], [1993-]
1566-1679, 110974993863514, [2001-], [2001-]
1072-3374, 110974993863518, [Record not found in Sirsi], [1973-]
0885-7474, 110974993863520, [1986-], [1986-]
0024-4902, 110974993863522, [2000-], [2000-]
0363-1672, 110974993863524, [Record not found in Sirsi], [1973-]
1068-820X, 110974993863528, [Record not found in Sirsi], [1966-]
0091-150X, 110974993863536, [1967-], [1967-]
0032-9460, 110974993863538, [2001-], [2001-]
1566-7170, 110974993863540, [2001-], [2001-]
0033-8443, 110974993863542, [1965-], [1965-]
1068-1620, 110974993863544, [2000-], [2000-]
1062-3604, 110974993863546, [2000-], [2000-]
1022-7954, 110974993863548, [2000-], [2000-]
1063-0740, 110974993863550, [2000-], [2000-]
1070-4280, 110974993863552, [2001-], [2001-]
1063-7397, 110974993863554, [2000-], [2000-]
1064-8887, 110974993863556, [1965-], [1965-]
0038-0741, 110974993863560, [1964-], [1964-]
0038-0946, 110974993863562, [1997-], [1997-]
0040-5760, 110974993863564, [1965-], [1965-]
0041-5995, 110974993863566, [1967-], [1967-]
0097-8078, 110974993863572, [2000-], [2000-]
0012-0308, 110975506068799, [1997-1999], [1997-1999]
0032-9452, 110975506069037, [2006-], [2006-]
0037-2110, 110975506069065, [1998-2008], [1998-2008]
0046-8991, 110975506069151, [2007-], [2007-]
0080-889X, 110975506069353, [1998-2008], [1998-2008]
0253-505X, 110975506069901, [2010-], [2010-]
0254-4059, 110975506069913, [1982-], [1982-]
0255-660X, 110975506069933, [1973-2009], [1973-2009]
0925-1014, 110975506071119, [1992-1996], [1992-1996]
0970-2822, 110975506071259, [2010-], [2010-]
1000-9426, 110975506071357, [1985-], [1982-]
1068-3739, 110975506071731, [2007-], [2007-]
1069-3513, 110975506071743, [2006-], [2006-]
1234-1983, 110975506071993, [2002-], [2002-]
1380-8427, 110975506072157, [1992-1997], [1992-1997]
1425-8153, 110975506072203, [2000-], [2000-]
1438-3896, 110975506072215, [v.42(2000)-], [1952-]
0961-1444, 110975507367674, [1997-1998], [1997-1998]
1400-0350, 110975507367752, [1995-], [1995-]
0174-2442, 110975573242488, [1997-], [1997-]
1127-1035, 110975573242490, [1997-1999], [1997-1999]
1434-5293, 110975573242492, [1996-], [1996-]
0219-1377, 110975573242494, [1999-], [1999-]
1129-2369, 110975573242496, [2000-], [2000-]
0002-6018, 110975574644817, [2004-2006], [2004-2006]
1000-9345, 110975946727485, [], [2012-]
1432-847X, 110975946727497, [1999-], [1999-]
0938-8249, 110976010040296, [1966-], [1966-]
0022-6912, 110976725600088, [2007-], [2007-]
0945-358X, 110976725706856, [2005-], [2005-]
0948-4396, 110976725706858, [2007-], [2007-]
1435-246X, 110976732976229, [1999-], [1999-]
0025-3863, 110978966548534, [1990-], [1990-]
0031-0301, 110978966549400, [2006-], [2006-]
0031-918X, 110978966549644, [2006-], [2006-]
0095-4527, 110978966554136, [1997-], [1997-]
0096-3925, 110978966554210, [2007-], [2007-]
0145-8752, 110978966554884, [2007-], [2007-]
0147-6882, 110978966555038, [2007-], [2007-]
0340-0425, 110978966558402, [2000-], [2000-]
0342-2380, 110978966558538, [1971-], [1971-]
0361-5219, 110978966558910, [2007-], [2007-]
0373-5893, 110978966559136, [2009-], [2009-]
0965-545X, 110978966562328, [2006-], [2006-]
1066-369X, 110978966562992, [2007-], [2007-]
1067-8212, 110978966563004, [2007-], [2007-]
1068-3356, 110978966563016, [2007-], [2007-]
1068-3712, 110978966563020, [2007-], [2007-]
1068-7998, 110978966563042, [2007-], [2007-]
1439-6319, 110978966563710, [2000-], [2000-]
0012-0456, 110978976472911, [1890-2010], [1890-2010]
0018-0092, 110978976474219, [2010-], [2010-]
0031-0220, 110978976476039, [1913-], [1913-]
0033-1538, 110978976476403, [1997-], [1970-]
0034-0111, 110978976476483, [Record not found in Sirsi], [1998-]
0035-1776, 110978976476675, [1950-], [1950-]
0037-8984, 110978976477111, [1900-], [1900-]
0043-6275, 110978976477903, [2005-], [2005-]
0044-2372, 110978976477973, [2006-], [2006-]
0044-2585, 110978976477983, [1979-], [1979-]
0139-9918, 110978976479309, [1997-], [1997-]
1211-9520, 110978976481597, [v.33(1998)-], [1966-1996, 1998-]
0009-725X, 110978976775421, [1884-], [1884-]
0014-0309, 110978976776081, [2004-], [2004-]
0972-2068, 110978976777021, [2003-], [2002-]
0020-7187, 110978976777287, [1969-], [1969-]
0026-1424, 110978976778201, [2010-], [2010-]
0035-6751, 110978976779459, [2006], [2006-2006]
0046-8983, 110978976780819, [2012-], [2012-]
0390-7368, 110978976781545, [2008-], [2008-]
1340-3540, 110978976781983, [1994-], [1994-]
0010-0757, 110978977118956, [1948-], [1948-]
0047-2468, 110978977123322, [1971-], [1971-]
0001-4338, 110978977275246, [2006-], [2006-]
0005-1055, 110978977275982, [2007-], [2007-]
0013-8738, 110978977278382, [2006-], [2006-]
0016-7029, 110978977279184, [2006-], [2006-]
0016-7932, 110978977279196, [2006-], [2006-]
0025-6544, 110978977281688, [2007-], [2007-]
0027-1314, 110978977282160, [2007-], [2007-]
0027-1322, 110978977282162, [2007-], [2007-]
0027-1330, 110978977282164, [2007-], [2007-]
0036-0236, 110978977283038, [2006-], [2006-]
1028-334X, 110978977286920, [2006-], [2006-]
1067-9073, 110978977287204, [1992-], [1992-]
1068-798X, 110978977287212, [2007-], [2007-]
0240-642X, 110978977561607, [Record not found in Sirsi], [1971-]
0278-6419, 110978977562229, [2007-], [2007-]
0344-9327, 110978977563143, [2005-], [2005-]
1068-3623, 110978977567001, [2007-], [2007-]
0172-1631, 110978977740815, [2004-], [2004-]
0075-3432, 110978977742161, [v.1(1975)-], [1924-]
0343-5377, 110978977742517, [Record not found in Sirsi], [2008-]
1063-455X, 110978977744521, [2007-], [2007-]
1068-3666, 110978977744533, [2007-], [2007-]
0075-5974, 110978977973476, [1946-], [1946-]
0081-5438, 110978977975762, [Record not found in Sirsi], [2006-]
0157-244X, 110978978190216, [1971-], [1971-]
0190-2717, 110978978190802, [2007-], [2007-]
1063-4541, 110978978197074, [2007-], [2007-]
0173-7600, 110978978376361, [2006-], [2006-]
0217-9822, 110978978377129, [1984-], [1984-]
0168-9673, 110978978550611, [1984-], [1984-]
0736-0932, 110978978554165, [1977-], [1977-]
1027-4510, 110978978556881, [2007-], [2007-]
1052-6188, 110978978557085, [2007-], [2007-]
1063-4576, 110978978557197, [2007-], [2007-]
0100-8404, 110978978733957, [1997-], [1997-]
0173-5322, 110978978735065, [v.31(2010)-], [2010-]
0334-701X, 110978978737417, [1986-], [1986-]
0367-4223, 110978978737787, [2002-], [2002-]
0930-4282, 110978978742263, [1990-], [1990-]
0169-1163, 110978978950484, [1997-1999], [1997-1999]
0178-7888, 110978978950630, [1997-], [1997-]
0393-9383, 110978978952466, [1986-2006], [1986-2006]
0747-9239, 110978978953598, [2007-], [2007-]
0884-5913, 110978978954638, [2007-], [2007-]
0891-4168, 110978978955416, [2007-], [2007-]
1000-9221, 110978978957430, [1989-2002], [1989-2002]
1011-288X, 110978978957476, [1988-], [1988-]
1068-3372, 110978978958694, [2007-], [2007-]
1068-3755, 110978978958700, [2007-], [2007-]
0882-0783, 110978979118349, [1985-], [1985-]
0928-5105, 110978979119309, [Record not found in Sirsi], [1987-]
0948-6259, 110978979119735, [2012-], [2012-]
1006-7191, 110978979120411, [2013-], [2013-]
0916-7005, 110978979267072, [v.14(1997)-], [1984-]
0933-1875, 110978979267292, [], [2010-]
1000-9116, 110978979268532, [1997-2008], [1997-2008]
1002-0063, 110978979268682, [1991-], [1991-]
1015-3802, 110978979269112, [1990-], [1990-]
1033-2170, 110978979269432, [1989-], [1989-]
1055-1344, 110978979270872, [2007-], [2007-]
0911-6028, 110978979432696, [1985-], [1985-]
0936-5931, 110978979432990, [1998-], [1998-]
0940-7936, 110978979433100, [1998-2010], [1998-2010]
1000-9604, 110978979434202, [v.1(1989)-], [1989-]
1001-0521, 110978979434254, [2009-], [2009-]
1003-2169, 110978979434868, [1997-], [1997-]
1055-0925, 110978979436256, [1991-], [1991-]
0353-5150, 110978979588149, [2002-], [2002-]
0941-2530, 110978979590471, [1992-2002], [1992-2002]
1066-5307, 110978979594565, [2007-], [2007-]
0933-2766, 110978979781819, [2007-], [2007-]
0943-1853, 110978979782053, [1993-1996,2004-], [1979-]
0943-1950, 110978979782055, [2004-], [2004-]
0943-3481, 110978979782063, [2007-], [2007-]
0943-4011, 110978979782069, [2007-], [2007-]
1008-1321, 110978979782947, [2013-], [2013-]
1166-2654, 110978979785555, [1991-], [1991-]
0174-3635, 110978984074351, [1997-], [1997-]
0869-8643, 110978984076301, [2006-], [2006-]
0946-9834, 110978984077555, [2000], [2000-2000]
0947-0867, 110978984077563, [2000-], [2000-]
1005-9784, 110978984078597, [1997-2011], [1997-2011]
1006-4982, 110978984078601, [Record not found in Sirsi], [2008-]
1019-3316, 110978984078757, [2006-], [2006-]
1069-5850, 110978984079757, [1997-2000], [1997-2000]
1122-1151, 110978984081149, [1993-], [1993-]
1205-8629, 110978984081643, [1996-], [1996-]
0948-3349, 110978984249810, [v.1(1996)-], []
0949-7323, 110978984249856, [2008-], [2008-]
0971-8044, 110978984250074, [Record not found in Sirsi], []
1430-483X, 110978984253506, [1996-], [1996-]
1443-2447, 110978984253558, [Record not found in Sirsi], [1983-]
1433-5298, 110978984352499, [1997-], [1997-]
1434-1832, 110978984352515, [2007-], [2007-]
1434-1883, 110978984352517, [2008-], [2008-]
1434-7229, 110978984352521, [1998-], [1998-]
0202-2893, 110978984441791, [2008-], [2008-]
1090-185X, 110978984445173, [1989-2009], [1989-2009]
1095-5143, 110978984445531, [2000-], [2000-]
1098-3708, 110978984445701, [1998-], [1998-]
1226-7708, 110978984446397, [2010-], [2010-]
1279-7707, 110978984446687, [2008-], [2008-]
1343-8875, 110978984446919, [1998-], [1998-]
1437-2053, 110978984448623, [1999-], [1999-]
1520-9512, 110978984449233, [1996-], [1996-]
0104-6500, 110978984562091, [1997-], [1997-]
0971-5894, 110978984564385, [2008-], [2008-]
1009-3095, 110978984564703, [Record not found in Sirsi], [2000-]
1022-4556, 110978984564845, [1997-], [1997-]
1024-8560, 110978984564867, [2009-], [2009-]
1029-8428, 110978984564969, [1999-], [1999-]
1029-9599, 110978984564979, [2012-], [2012-]
1092-8464, 110978984565709, [1999-], [1999-]
1092-8472, 110978984565711, [1998-2008], [1998-2008]
1092-8480, 110978984565713, [1999-], [1999-]
1480-9222, 110978984569749, [1998-], [1998-]
1522-6417, 110978984569977, [1999-], [1999-]
1522-8037, 110978984569993, [1999-], [1999-]
1523-3774, 110978984570033, [1999-], [1999-]
1523-3782, 110978984570035, [1999-], [1999-]
1523-3790, 110978984570037, [], [1999-]
1523-3804, 110978984570039, [1999-], [1999-]
1523-3812, 110978984570041, [1999-], [1999-]
1523-3847, 110978984570047, [1999-], [1999-]
1615-3375, 110978984570571, [2001-], [2001-]
1615-5262, 110978984570579, [2001-], [2001-]
1615-5289, 110978984570583, [2001-], [2001-]
1615-6609, 110978984570591, [2001-], [2001-]
1068-3674, 110979839331165, [2007-], [2007-]
1590-1874, 110980863779915, [v.21(2000)-], [1979-]
1615-7591, 110980863779917, [2001-], [2001-]
1522-1059, 110984073530300, [], [1999-2007]
1099-209X, 110985642655330, [v.75(1998)-], [1923-1996, 1998-]
1590-4261, 110985818340398, [2000-], [2000-]
1064-5624, 110985818527410, [2006-], [2006-]
1294-9361, 110985818829954, [2010-], [2010-]
1359-5997, 110985821000927, [1992-], [1992-]
1560-0904, 110985821000955, [2006-], [2006-]
0003-701X, 110985822449342, [2007-], [2007-]
0074-1612, 110985822450504, [Record not found in Sirsi], [1970-1998]
0165-1404, 110985822451774, [1968-1992], [1968-1992]
0366-1369, 110985822454566, [1957-1965], [1957-1965]
0748-1985, 110985822457408, [1983-1987], [1983-1987]
0843-4611, 110985822457820, [1988-1993], [1988-1993]
0892-7561, 110985822458142, [1988-1989], [1988-1989]
0931-704X, 110985822458360, [1987-1991], [1987-1991]
0941-2816, 110985822458594, [1992-1994], [1992-1994]
0970-1915, 110985822458792, [1989-], [1989-]
1062-8738, 110985822459524, [2007-], [2007-]
0025-1534, 110989422316002, [1968-1997], [1968-1997]
1345-711X, 110989422336030, [2000-], [2000-]
1567-567X, 110989422341040, [Record not found in Sirsi], [1973-]
1567-7230, 110989422341042, [2001-], [2000-]
1617-4615, 110989422341046, [Record not found in Sirsi], [1908-]
0036-6978, 110992357259210, [1993-], [1993-]
0759-2280, 110992357346516, [2004-], [2004-]
0946-3151, 110992357378280, [2007-], [2007-]
1053-8798, 110992357390152, [1991-1998], [1991-1998]
1124-1861, 110992357393420, [1982-1996], [1982-1996]
1560-2745, 110998584178038, [1998-], [1998-]
1439-6092, 111002735699012, [2001-], [2001-]
0373-3114, 111006469425382, [1858-], [1858-]
0735-2727, 111006469429462, [Record not found in Sirsi], [2007-]
0934-3504, 111006469439640, [1997-2010], [1997-2010]
0944-5196, 111006469440690, [2007-], [2007-]
1075-7007, 111006469452818, [2006-], [2006-]
1345-2630, 111006469456934, [2000-], [2000-]
1389-5753, 111006469462126, [2001-], [2001-]
1424-3199, 111006469463150, [2001-], [2001-]
1439-8516, 111006469464212, [1985-], [1985-]
1566-113X, 111006469467366, [2001-], [2001-]
1567-9764, 111006469467390, [2001-], [2001-]
1607-6729, 111006469468408, [2001-], [2001-]
1617-4909, 111006469468426, [Record not found in Sirsi], [1997-]
1618-2642, 111006469468428, [v.372(2002)-], [1862-]
1025-9112, 111006489762008, [Record not found in Sirsi], [1982-]
0251-2513, 111006902681004, [2001-], [2001-]
1439-0108, 111006902711080, [2001-], [2001-]
1536-1632, 111011798308002, [2005-], [2005-]
1568-4539, 111014393768036, [2002-], [2002-]
1473-4222, 111014395875016, [2002-], [2002-]
1537-3649, 111014395877032, [v.30(2001)-v.37(2006)], [1986-1996, 2001-2006]
0012-0200, 111016560220038, [1950-2002], [1950-2002]
1530-7905, 111020957593018, [2001-], [2001-]
1535-1084, 111020957593032, [2002-], [2002-]
0944-6524, 111021054792080, [2007-], [2007-]
1126-6708, 111021927548002, [1997-], [1997-]
1618-5641, 111021927548004, [2002-], [2002-]
1618-7598, 111021927548006, [v.2(2001)-], [2000-]
1567-7818, 111022269531040, [2002-], [2002-]
1568-4555, 111022269532042, [2002-], [2002-]
1568-7759, 111022269532046, [2002-], [2002-]
1568-7767, 111022269532048, [2002-], [2002-]
1569-1705, 111022269532050, [2002-], [2002-]
1569-1713, 111022269532052, [2004-], [2004-]
1617-982X, 111022269532054, [2002-], [2002-]
1618-1247, 111022269532056, [v.89(2001)-], [1997-]
1618-954X, 111022271880042, [2002-], [2002-]
1591-8890, 111025029846000, [2001-], [2001-]
1616-7341, 111025029846002, [Record not found in Sirsi], [1948-]
1619-7070, 111025029846004, [Record not found in Sirsi], [1976-]
1617-7126, 111025119912000, [2007-], [2007-]
1534-8644, 111025286560046, [2002-], [2002-]
1570-1166, 111025286561056, [2002-], [2002-]
1424-9286, 111027365095000, [v.70(2002)-], [1927-]
1445-5781, 111027698971000, [2002-], [2002-]
1569-8025, 111027698973012, [2002-], [2002-]
1617-7959, 111030403013014, [2002-], [2002-]
1527-2737, 111032556420000, [2000-], [2000-]
1530-9932, 111032812863670, [2000-], [2000-]
1570-0755, 111034869894000, [2002-], [2002-]
1570-145X, 111034869894002, [Record not found in Sirsi], [1967-]
1571-1013, 111034869894006, [v.7(2003)-], [1997-]
1569-5239, 111034870123000, [2003-], [2003-]
1570-7156, 111034870123002, [2003-], [2003-]
1618-2510, 111035580864020, [v.10(2001)-], [1992-]
1895-1082, 111035998868056, [2003-], [2003-]
1610-2894, 111036082214000, [Record not found in Sirsi], [2002-]
1539-2791, 111038336087000, [2003-], [2003-]
1570-2081, 111038336088002, [2002-], [2002-]
1624-0693, 111053442507034, [2011-], [2011-]
1610-3653, 111055177586000, [2003-], [2003-]
1611-2490, 111055177586002, [v.1(2003)-], [2003-]
1610-2932, 111055191565000, [2003-], [2003-]
1543-4494, 111056056234000, [2003-], [2003-]
1534-4827, 111056644982180, [2001-], [2001-]
1578-7303, 111056645950286, [2001-], [2001-]
1544-1865, 111056647626272, [2003-], [2003-]
1544-1873, 111056647626274, [2003-], [2003-]
1617-416X, 111056648716156, [2002-], [2002-]
1610-2878, 111056649139302, [2003-], [1970-]
1672-1799, 111056649606362, [2003-2004], [2003-2004]
1438-4957, 111057004864008, [1999-], [1999-]
1569-1721, 111057004870040, [2003-], [2003-]
1570-7385, 111057004871048, [2003-], [2003-]
1570-7873, 111057004871052, [2003-], [2003-]
1593-8883, 111057004871054, [Record not found in Sirsi], [1978-]
1617-6782, 111057004872064, [2003-], [2003-]
1619-1366, 111057004872066, [v.1(2002)-], [2002-]
1678-7544, 111057004872072, [v.1(1970)-], [1970-]
1682-8631, 111057004872074, [Record not found in Sirsi], [1969-]
1422-6383, 111057007143018, [v.49(2006)-], [1978-]
1570-7075, 111057011092032, [2003-2010], [2003-2010]
1570-761X, 111060272601008, [2003-], [2003-]
1672-4070, 111060272602022, [2003-], [2003-]
1575-3018, 111063913359042, [], [2000-2004]
1570-1727, 111064236181000, [2003-], [2003-]
